geoname_id,synonym,word_likelihood
4275000,City of Manhattan,4.86E-08
7163441,City of Dearborn,1.22E-08
6536274,Ospitale di Cadore,1.22E-08
7285317,Boezen,1.00E-10
6432683,Verreries-de-Moussans,2.03E-09
6320551,Orobo,2.03E-09
5766411,Lawrence County,1.50E-06
6435790,Dommartin-sous-Hans,2.03E-09
6554318,Flussbach,1.00E-10
6557145,Langerringen,2.03E-09
5112476,Town of Chester,5.67E-08
8133113,Skepptuna,2.03E-09
8132637,Bringetofta,1.00E-10
3670304,Samaca,1.00E-10
7162128,Town of Smithfield,2.23E-08
7285484,Chatonnaye,2.03E-09
6557338,Wyk auf Foehr,1.00E-10
6617848,Mareuil-sur-Lay-Dissais,2.03E-09
8594735,Kabupaten Sumbawa,1.00E-10
7171234,Town of Latta,1.00E-10
189794,KE-20,2.63E-08
6539130,Godrano,1.01E-08
10295307,Makemo,2.63E-08
6323955,Crominia,1.00E-10
2726330,AElvdalens kommun,1.00E-10
6324287,Banabuiu,1.00E-10
6453727,Matha,5.27E-07
6545903,Temsia,1.00E-10
6355524,Alcolea,4.66E-08
6356796,Hoyos,2.69E-07
6425454,Saint-Leon,4.05E-09
6439707,Marles-les-Mines,6.08E-09
685947,Judetul Bacau,1.00E-10
6435357,Yzernay,2.03E-09
7532196,Gozd,2.03E-08
1857327,Mihara Shi,1.00E-10
6453312,Hammerfest,2.77E-07
409314,Syunik,1.13E-07
6441072,Duppigheim,4.05E-09
6447443,Bruere-Allichamps,1.00E-10
4749725,City of Buena Vista,1.22E-08
7174574,City of Todd Mission,2.03E-09
6940595,Bani Al Harith,1.00E-10
6533994,Sant Iscle de Vallalta,6.08E-09
7174944,Town of Ramona,4.05E-09
6361052,Villamanrique de la Condesa,4.05E-09
6424461,Chenay,2.03E-09
6558401,Friedberg,4.35E-07
6556161,Zorneding,4.05E-09
6444677,Pont-Noyelles,2.03E-09
6322299,Irapua,1.00E-10
6552479,Freden (Leine),1.00E-10
6554766,Mehring,1.03E-07
6454881,Saint-Aubin,5.67E-08
6360325,Calzada de Valdunciel,4.05E-09
2400454,Province du Haut-Ogooue,1.00E-10
6549804,Niederorschel,1.01E-08
4099753,State of Arkansas,6.80E-07
6319459,Santa Barbara Do Para,1.00E-10
3496022,Nagua,5.06E-08
6426793,Peyrefitte-sur-l'Hers,1.00E-10
7164217,City of Strafford,2.03E-09
7173876,City of Mobeetie,4.05E-09
4566272,Moca Municipio,1.00E-10
1559975,Tinh Tra Vinh,1.00E-10
7174258,Town of Ault,8.10E-09
8347621,Okhahlamba,2.03E-09
7175552,Town of Byron,1.82E-08
6433260,Mottier,6.08E-09
2872153,Landkreis Meissen,1.00E-10
6559076,"Diepenau, Flecken",1.00E-10
6536611,Arsiero,2.03E-09
7169816,City of Crescent Springs,2.03E-09
6542748,Onzo,1.82E-08
7163398,City of Holyrood,1.00E-10
4150627,Charlotte County,4.29E-07
7174564,City of Thorndale,2.03E-09
6558672,"Allersberg, Markt",1.00E-10
6449950,Bourgaltroff,2.03E-09
6614924,La Bretonniere-la-Claye,1.00E-10
6540552,Vallecrosia,1.01E-08
519324,Novgorodskaya Oblast',1.00E-10
6446010,Saint-Serotin,1.00E-10
6443082,Viuz-la-Chiesaz,1.00E-10
6432111,Saint-Mezard,1.00E-10
6558708,"Wiesentheid, Markt",1.00E-10
6551551,Haselund,2.03E-09
8133747,Ikaria,1.56E-07
11351902,Barons Drive/Coin De L'Anse,1.00E-10
6323995,Itaguaru,2.03E-09
3700799,Distrito de Taboga,1.00E-10
8657218,Imbonggu,1.00E-10
6537415,Sant'Arsenio,4.05E-09
7164926,Town of Goodman,1.00E-10
6319268,Sao Felipe D'Oeste,1.00E-10
6320858,Ibipeba,2.03E-09
7287618,Wyssachen,6.08E-09
6548372,Marnitz,2.03E-09
6554603,Sengerich,2.03E-09
6429655,Teillots,2.03E-09
6437273,Warcq,1.00E-10
6448399,Baurech,2.03E-09
3077834,Okres Cheb,2.03E-09
5254436,City of Glenwood City,1.00E-10
6451656,Chabournay,1.00E-10
6554013,Dienethal,6.08E-09
1260455,Panna,4.74E-07
6431025,Port-Launay,4.05E-09
2786388,Somme-Leuze,8.10E-09
2617382,Laeso Kommune,1.00E-10
6362883,Orera,1.22E-08
6615919,Saint-Martin-de-Bienfaite-la-Cressonniere,1.00E-10
6323200,Morro Grande,4.05E-09
6457166,La Croisille-sur-Briance,1.00E-10
6538967,Arnesano,8.10E-09
7317517,Village of Crestwood,2.03E-09
6448430,Cadarsac,2.03E-09
6557458,Westerstede,1.82E-08
7628364,Malpils Novads,1.00E-10
6450029,Auberchicourt,4.05E-09
6555103,Heinzenhausen,1.00E-10
7225426,City of Wildomar,1.00E-10
6427210,Esson,6.48E-08
3837885,Departamento de San Carlos,1.00E-10
6553409,Kausen,6.08E-09
7174749,City of Yoncalla,1.00E-10
6355480,"Pinos, el/Pinoso",1.00E-10
6553792,Alken,4.25E-08
6547967,Prislich,1.00E-10
2799497,Destelbergen,1.82E-08
6435844,Herpont,1.00E-10
3344949,Qarku i Lezhes,2.03E-09
7163876,City of Mildred,1.00E-10
6455574,Le Mesnil-Caussois,4.05E-09
7171418,Town of Monteagle,4.05E-09
653484,Kaustinen,6.48E-08
8347420,Nxuba,4.05E-09
6553075,Morsbach,1.26E-07
6551990,Schaalby,2.03E-09
6362644,Torregamones,2.03E-09
6618409,Douvrin,6.48E-08
6320823,Correntina,2.43E-08
6536460,Gressan,2.03E-09
6357097,Alamillo,4.25E-08
6322563,Santo Antonio Do Pinhal,2.03E-09
6617537,Saint-Loup-de-Varennes,1.00E-10
