geoname_id,synonym,word_likelihood
5165418,State of Ohio,1.67E-06
4138106,D.C.,0.000273046
5843591,Wyoming,1.39E-05
5744337,Beaver State,2.43E-08
4597040,South Carolina,2.99E-05
5596512,Idaho,1.73E-05
5549030,Beehive State,4.05E-09
5001836,Michigan,8.32E-05
5073708,State of Nebraska,4.92E-07
5332921,State of California,2.73E-06
5090174,Granite State,1.28E-07
5551752,Arizona,4.29E-05
5667009,State of Montana,4.54E-07
4544379,Oklahoma,4.54E-05
5073708,Nebraska,2.62E-05
5417618,Colorado,5.19E-05
4398678,Show-Me State,8.10E-09
5224323,State of Rhode Island and Providence Plantations,1.00E-10
5165418,Buckeye State,2.43E-08
4544379,State of Oklahoma,8.10E-07
4331987,Louisiana,4.32E-05
4155751,Sunshine State,1.28E-07
4662168,State of Tennessee,7.51E-07
5242283,State of Vermont,8.30E-07
5509151,Silver State,1.42E-07
4597040,Palmetto State,9.11E-08
5090174,State of New Hampshire,3.99E-07
4482348,North Carolina,5.90E-05
4155751,State of Florida,1.89E-06
5843591,Equality State,8.10E-09
4361885,State of Maryland,9.98E-07
4331987,State of Louisiana,9.68E-07
5667009,Montana,2.17E-05
6254928,Old Dominion,9.07E-07
5101760,Garden State,1.05E-06
4197000,Georgia,8.72E-05
5001836,Wolverine State,1.82E-08
5224323,Rhode Island,1.61E-05
4398678,Missouri,5.76E-05
4831725,State of Connecticut,7.27E-07
5843591,State of Wyoming,3.58E-07
4544379,Sooner State,1.22E-08
4829764,State of Alabama,8.73E-07
5332921,Golden State,1.82E-06
6254926,Bay State,5.35E-07
4273857,State of Kansas,6.32E-07
4142224,First State,1.98E-06
4921868,Indiana,5.32E-05
5879092,Land of the Midnight Sun,3.24E-08
4436296,State of Mississippi,7.37E-07
4197000,Peach State,7.49E-08
5769223,State of South Dakota,1.74E-07
4662168,Tennessee,5.11E-05
5242283,Green Mountain State,6.48E-08
4862182,Iowa,4.25E-05
4826850,State of West Virginia,8.06E-07
5481136,Land of Enchantment,1.82E-08
5332921,California,0.000257921
5690763,Sioux State,1.00E-10
4896861,Prairie State,1.98E-07
5855797,Aloha State,2.23E-08
5509151,State of Nevada,5.10E-07
4361885,Maryland,5.08E-05
4197000,State of Georgia,1.82E-06
5165418,Ohio,0.000106378
4155751,Florida,0.000114902
5551752,Grand Canyon State,1.62E-08
4099753,Arkansas,2.92E-05
4921868,State of Indiana,1.06E-06
5481136,New Mexico,2.22E-05
5855797,Republic of Hawaii,1.74E-07
4971068,Pine Tree State,1.62E-08
6254927,Pennsylvania,0.000106206
4971068,State of Maine,6.76E-07
5279468,Badger State,4.25E-08
5242283,Vermont,2.29E-05
4921868,Hoosier State,7.29E-08
4736286,Texas,0.000153852
4597040,State of South Carolina,5.20E-07
4138106,District of Columbia,5.28E-06
5879092,State of Alaska,1.19E-06
5690763,North Dakota,1.27E-05
6254928,Virginia,0.000124398
5879092,Alaska,2.94E-05
4436296,Mississippi,4.30E-05
5855797,Kingdom of Hawaii,4.07E-07
5332921,Calif,2.20E-06
5128638,State of New York,2.40E-06
4662168,Volunteer State,4.86E-08
5128638,New York,0.000472641
6254928,Commonwealth of Virginia,5.95E-07
5279468,Wisconsin,4.96E-05
6254927,Keystone State,1.68E-07
5073708,Cornhusker State,1.82E-08
5128638,Empire State,1.49E-06
5509151,Nevada,2.49E-05
5690763,State of North Dakota,4.66E-07
4099753,Land of Opportunity,5.87E-08
5744337,Oregon,4.54E-05
5744337,State of Oregon,8.81E-07
4361885,Old Line State,1.62E-08
4829764,Alabama,4.05E-05
5596512,Gem State,2.03E-08
4331987,Pelican State,2.63E-08
5481136,State of New Mexico,4.46E-07
5596512,State of Idaho,3.79E-07
5037779,North Star State,1.22E-08
4826850,Mountain State,7.27E-07
4361885,Md.,1.21E-05
4826850,West Virginia,2.43E-05
5815135,Washington State,5.93E-06
4862182,Hawkeye State,4.05E-09
6254925,Blue Grass State,4.05E-09
4736286,Lone Star State,9.32E-08
4482348,State of North Carolina,1.11E-06
5855797,Hawaii,3.02E-05
5769223,South Dakota,1.26E-05
6254925,Kentucky,4.77E-05
5332921,California Republic,9.11E-08
6254925,Commonwealth of Kentucky,1.80E-07
5815135,Evergreen State,2.90E-07
5279468,State of Wisconsin,1.67E-06
5815135,State of Washington,1.30E-06
4971068,Maine,2.94E-05
4829764,Heart of Dixie,6.48E-08
5101760,State of New Jersey,1.41E-06
4142224,State of Delaware,4.23E-07
5101760,New Jersey,7.61E-05
5769223,Coyote State,1.00E-10
5224323,Little Rhody,2.03E-09
5037779,State of Minnesota,1.03E-06
6254927,Commonwealth of Pennsylvania,5.59E-07
4398678,State of Missouri,1.07E-06
4142224,Delaware,2.45E-05
5090174,New Hampshire,2.62E-05
5128638,New York State,1.88E-05
4273857,Sunflower State,1.62E-08
4896861,Illinois,8.44E-05
5417618,Centennial State,1.22E-08
4896861,State of Illinois,1.42E-06
5549030,Utah,3.00E-05
6254926,Commonwealth of Massachusetts,7.07E-07
4831725,Connecticut,3.95E-05
4138106,"Washington, D.C.",3.08E-05
5855797,State of Hawaii,6.42E-07
4831725,Constitution State,3.65E-08
4862182,State of Iowa,7.76E-07
5551752,State of Arizona,5.93E-07
4273857,Kansas,5.58E-05
5037779,Minnesota,6.41E-05
5549030,State of Utah,5.20E-07
5815135,Washington,0.00018551
4482348,Tar Heel State,4.05E-09
5417618,State of Colorado,8.99E-07
6254926,Massachusetts,7.26E-05
4099753,State of Arkansas,6.80E-07
4436296,Magnolia State,4.25E-08
5667009,Treasure State,2.03E-09
