geoname_id,synonym,word_likelihood
3109165,Sentmenat,1.01E-08
4738923,Vanderbilt,5.55E-06
4738279,Uhland,1.01E-07
4804894,Eglon,8.30E-08
4859603,Hamburg,1.46E-05
5805564,Olalla,8.30E-08
4556183,Zion,6.67E-06
4872914,Richland,2.69E-06
4908068,Romeoville,8.91E-08
5206674,Plymptonville,4.05E-09
5551393,Antares,7.17E-07
4797242,Anawalt,3.24E-08
5538821,Mount Nebo,1.44E-07
4705343,Larga Vista,1.22E-08
4521434,Plainville,2.37E-07
4672145,Ballinger,2.75E-07
5417342,Coal Creek,2.51E-07
5132137,Pottersville,5.47E-08
3029045,Camblain-lAbbé,1.00E-10
4924636,Parker City,2.84E-08
3030853,Bourville,4.05E-09
5324004,Angels City,1.01E-08
5164582,Niles,3.71E-06
5693966,Bushnell,1.20E-06
4394498,Lambert,7.68E-06
5241039,Sheldon Springs,6.08E-09
4245258,Moweaqua,2.84E-08
4503635,Pitman,1.00E-06
5862459,Fox,6.99E-05
4387168,Frankford,7.68E-07
5235763,East Poultney,1.82E-08
4914830,Villa Park,5.87E-07
4740584,Wells Branch,1.62E-08
4561863,Unionville,7.09E-07
4274801,Lorraine,8.51E-06
5807487,Prosser,8.81E-07
4878694,Toeterville,2.03E-09
4459569,Catawba,9.84E-07
4184410,Brinson,1.17E-07
4461523,Comfort,1.12E-05
5378870,Oildale,2.23E-08
4680235,Centralia,9.30E-07
5718823,Chemult,3.65E-08
2516395,Jaén,6.63E-06
5033090,Kenyon,2.74E-06
5238193,Lyndon Center,2.63E-08
5530469,Seth Ward,5.67E-08
5012521,Trenton,5.93E-06
5128146,Mumford,9.92E-07
5058655,Clifford,9.68E-06
4332464,Mangham,4.46E-08
7161969,Peppermill Village,1.00E-10
5418133,Cotopaxi,1.34E-07
4333917,Morse,7.10E-06
5804490,Naselle,3.65E-08
4186683,Cataula,1.42E-08
4515708,Kanauga,4.05E-09
4703958,La Grange,8.14E-07
5014966,Whittemore,3.65E-07
5285956,Loop,2.70E-05
5707065,Osino,2.03E-09
4521536,Pleasant Plain,3.85E-08
4749168,Brooke,8.57E-06
4659088,Southside,2.01E-06
4945840,Northborough,1.76E-07
5752965,Sodaville,1.01E-08
4714912,Noonday,2.09E-07
5276084,Trempealeau,1.94E-07
5346871,Esparto,1.01E-07
4781614,Rice,3.71E-05
4161855,Lemon Grove,9.32E-08
4849428,Bronson,2.40E-06
5116790,Fair Haven,3.52E-07
4234198,Bone Gap,1.42E-08
5237410,Isle La Motte,6.89E-08
5567400,Macdoel,8.10E-09
5564118,Gazelle,1.58E-06
4911863,South Chicago,1.88E-07
5554211,Elkhorn,6.42E-07
3033046,Besson,6.08E-07
4347543,Ashton,5.57E-06
3110519,Sant Joan Despí,3.65E-08
5092947,South Tamworth,1.62E-08
5155755,Girard,2.27E-06
4063533,Fruitdale,5.27E-08
4742296,Willow Park,7.09E-08
4370213,Springbrook High School,3.85E-08
4368761,San Mar,1.42E-08
5852635,Puako,4.05E-09
5004486,Omer,1.52E-06
5190769,Gallitzin,2.11E-07
5774546,Erda,1.01E-07
5607205,Shoshone,1.12E-06
4879938,Valeria,1.27E-06
5243872,Amery,6.16E-07
5143587,Wellsville,4.13E-07
5829040,Johnstown,2.38E-06
4850751,Cedar Rapids,1.53E-06
5115704,East Aurora,2.13E-07
4236793,Dale,2.04E-05
5103055,Rahway,5.67E-07
5156485,Greentown,9.72E-08
5370082,Manhattan Beach,5.29E-07
4428522,Greenwood Springs,8.10E-09
4911201,Shannon,1.09E-05
4538518,Headrick,8.30E-08
5259424,Lamartine,2.65E-07
5555840,Mosquito Lake,2.63E-08
7315418,Mill Creek East,1.00E-10
4262318,North Vernon,5.87E-08
4542945,Moffett,7.37E-07
4603908,Banner Hill,8.10E-09
5060343,Maza,4.70E-07
4395482,Lithium,3.39E-06
4262555,Oldenburg,2.06E-06
4257818,Fulda,1.20E-06
2972307,Touques,1.07E-07
5209232,Royalton,3.87E-07
5854609,Wainiha,1.22E-08
7261058,Challenge-Brownsville,8.10E-09
4885305,Bonfield,8.71E-08
4191671,Doerun,3.85E-08
5410220,Witter Springs (historical),1.00E-10
4099350,Altus,5.04E-07
3036444,Attigny,3.85E-08
4096034,Wagarville,1.22E-08
4577375,Eastover,8.10E-08
4829438,Abanda,6.08E-09
5355828,Hawthorne,3.79E-06
4494034,Sunbury,1.27E-06
5019353,Brookston,4.46E-08
4475122,Lansing,4.55E-06
5188830,Equinunk,1.42E-08
5461856,Chupadero,6.08E-09
4992304,Evart,7.29E-08
4788158,Suffolk,1.15E-05
4923567,Mier,2.37E-07
4692944,Garciasville,2.03E-09
5301407,Lake Montezuma,3.04E-08
2967917,Viry-Châtillon,1.00E-10
5850966,Maunawili,3.85E-08
4559762,Morton,1.11E-05
4667741,Wildersville,2.03E-09
4500709,Beachwood,3.56E-07
5373965,Mojave,2.15E-06
4919569,Deedsville,2.03E-09
4997244,Irons,2.66E-06
4440975,Picayune,2.59E-07
4808732,Hico,9.11E-08
4271358,Fairway,6.56E-07
4109927,Elm Springs,2.84E-08
5871052,Ouzinkie,1.22E-08
4101114,Bella Vista,4.21E-07
5036913,Maynard,4.14E-06
5870043,Ninilchik,8.51E-08
4354604,Fairplay,4.09E-07
5337829,Clay,2.73E-05
5368618,Los Serranos,3.85E-08
5869897,Newtok,2.23E-08
5146282,Avon Center,2.03E-09
5113760,Corning,1.69E-06
5034746,Lindstrom,4.48E-07
4414011,Wesco,1.17E-07
8604998,Lake Powell,2.63E-07
5255476,Hanover,9.50E-06
4090386,Skyline,5.13E-06
4917614,Angola,9.42E-06
4507599,Byesville,4.66E-08
4697038,Helotes,7.90E-08
4712933,Mount Pleasant,2.26E-06
3114965,Ourense,4.44E-07
5869805,Nelson Lagoon,2.23E-08
4325150,Franklin,4.16E-05
5846901,Haines,2.38E-06
5123798,Lake Hill,2.63E-08
4529418,Antlers,1.23E-06
4958958,Boothbay Harbor,7.49E-08
4668109,Williston,9.54E-07
7315235,Nocatee,4.05E-09
4182753,Bibb City,1.42E-08
5033707,Lake Benton,3.44E-08
4547139,Oktaha,2.03E-08
5186679,Delano,2.61E-06
5100565,Little York,6.28E-08
5059541,Hankinson,1.96E-07
5057351,South Lineville,8.10E-09
4850478,Carroll,1.44E-05
4905599,Pekin,5.57E-07
5528640,Prado Verde,1.01E-08
7448987,Chico,4.19E-06
2519283,Consell,8.51E-08
4053318,Camp Hill,4.44E-07
5201658,Monaca,1.01E-07
5850492,Ma'ili,1.00E-10
7260110,Selmont-West Selmont,8.10E-09
5256376,Hillsboro,1.57E-06
5791102,Coulee Dam,1.86E-07
5251996,Endeavor,3.24E-06
4601484,Woodford,1.93E-06
5498422,Windmill,3.59E-06
8105010,Aspin Hill Pet Cemetery,1.00E-10
4922402,Koontz Lake,1.42E-08
5006314,Portland,2.84E-05
8480053,Lake Panorama,4.05E-09
4949161,Royalston,6.28E-08
4970954,Madison,2.27E-05
4718236,Pecan Plantation,1.42E-08
4755652,Deerfield,2.06E-06
4148659,Bowling Green,2.47E-06
7536026,Rio Vista,1.68E-07
4503698,Presidential Lakes Estates,1.22E-08
5037793,Minnetrista,4.05E-08
5130328,Oyster Bay Cove,3.65E-08
10104154,Echo Park,4.41E-07
5203269,New Tripoli,2.23E-08
4951305,South Boston,7.33E-07
5463306,Cotton City,2.43E-08
5779798,Plain City,1.01E-07
4963140,East Andover,1.22E-08
5223250,Mapleville,6.08E-09
4965923,Greenbush,4.05E-07
5660682,Kicking Horse,1.40E-07
5030005,Hibbing,2.39E-07
9959676,United States Post Office Rodeo,1.00E-10
4060324,Egypt,5.37E-05
7259380,Manderson-White Horse Creek,1.22E-08
5474993,LaMadera,1.00E-10
8480025,Palos Verdes Peninsula,1.84E-07
4231725,Woodbine,9.62E-07
5185128,Conemaugh,2.29E-07
4289861,Diablock,1.00E-10
5671619,Pioneer Junction,1.00E-10
4905559,Pearl City,1.94E-07
5072608,Manley,2.56E-06
4688084,Easton,4.69E-06
5428160,Lazear,8.71E-08
5332374,Cabazon,1.19E-07
4695270,Groesbeck,1.32E-07
5608388,Spirit Lake,3.06E-07
5647366,Culbertson,3.75E-07
4955873,Winchendon,2.07E-07
4888692,Cooksville,1.48E-07
5735913,Langlois,7.07E-07
4369608,Silver Spring MARC Station,1.00E-10
4956545,Albion,7.55E-06
5249318,Conover,4.68E-07
4293005,Goose Creek,2.96E-07
3180827,Cannalonga,4.05E-09
5661016,Knife River,1.17E-07
5067646,Elwood,1.51E-06
4238310,Fillmore,3.08E-06
4304257,Pilgrim,3.91E-06
5143016,Waddington,1.01E-06
4505170,Alpha,3.36E-05
4294349,Hazard,7.01E-06
5128670,Newfane,1.66E-07
5095747,Blairstown,1.84E-07
4919184,Collegeville,2.39E-07
4262143,New Ross,4.17E-07
7260733,C-Road,6.08E-09
4539397,Iron Post,1.62E-08
5275907,Tony,7.71E-05
5688025,Bismarck,4.95E-06
4089148,Semmes,3.79E-07
4747930,Bland,2.81E-06
7250691,Kew Gardens Hills,3.24E-08
2994160,Metz,4.16E-05
5147960,Bowerston,2.96E-06
5272227,Sauk City,3.85E-08
4695325,Groveton,9.11E-08
5091090,Pike,1.30E-07
4716050,Oakwood,1.08E-05
5785104,Woodruff,1.78E-06
5025861,Esko,2.04E-06
4290224,Drakesboro,2.65E-07
5220523,Zionhill,2.23E-08
5405499,Valley Home,1.00E-10
4748093,Blue Ridge Shores,8.91E-08
4287292,Cayce,1.00E-10
2515731,Muleria,5.65E-07
4224412,Statenville,2.03E-09
